8.6614 	WARNING 	User requested fullscreen with size [1920 1080], but screen is actually [1440, 900]. Using actual size
14.4493 	EXP 	Created consent_txt = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, draggable=False, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.03, italic=False, languageStyle='LTR', name='consent_txt', opacity=1.0, ori=0.0, pos=array([0. , 0.1]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
14.4495 	EXP 	window1: mouseVisible = True
14.4525 	EXP 	Created continue_txt_3 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([ 1.        ,  0.29411765, -1.        ]), colorSpace='rgb', contrast=1.0, depth=-2.0, draggable=False, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.04, italic=False, languageStyle='LTR', name='continue_txt_3', opacity=1.0, ori=0.0, pos=array([ 0.3, -0.4]), rgb=UNKNOWN, text='Continue', units='height', win=Window(...), wrapWidth=1)
14.4526 	EXP 	window1: mouseVisible = True
14.4560 	EXP 	Created exit_txt = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([ 1.        ,  0.29411765, -1.        ]), colorSpace='rgb', contrast=1.0, depth=-3.0, draggable=False, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.04, italic=False, languageStyle='LTR', name='exit_txt', opacity=1.0, ori=0.0, pos=array([-0.3, -0.4]), rgb=UNKNOWN, text='Exit', units='height', win=Window(...), wrapWidth=1)
14.4561 	EXP 	window1: mouseVisible = True
14.4562 	EXP 	window1: mouseVisible = True
14.4669 	EXP 	Created demogr_txt = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.04, italic=False, languageStyle='LTR', name='demogr_txt', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
14.4671 	EXP 	window1: mouseVisible = True
14.4700 	EXP 	Created continue_txt_8 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([ 1.        ,  0.29411765, -1.        ]), colorSpace='rgb', contrast=1.0, depth=-1.0, draggable=False, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.04, italic=False, languageStyle='LTR', name='continue_txt_8', opacity=1.0, ori=0.0, pos=array([ 0. , -0.3]), rgb=UNKNOWN, text='Continue', units='height', win=Window(...), wrapWidth=1)
14.4701 	EXP 	window1: mouseVisible = True
14.4702 	EXP 	window1: mouseVisible = True
14.4857 	EXP 	Created age_txt = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.75, italic=False, languageStyle='LTR', name='age_txt', opacity=1.0, ori=0.0, pos=array([0., 5.]), rgb=UNKNOWN, text=str(...), units='deg', win=Window(...), wrapWidth=15.0)
14.5058 	EXP 	window1: mouseVisible = True
14.5063 	EXP 	window1: mouseVisible = True
14.5110 	EXP 	window1: mouseVisible = True
14.5112 	EXP 	window1: mouseVisible = True
14.5119 	EXP 	window1: mouseVisible = True
14.5125 	EXP 	window1: mouseVisible = True
14.5320 	EXP 	window1: mouseVisible = True
14.5322 	EXP 	window1: mouseVisible = True
14.5328 	EXP 	window1: mouseVisible = True
14.5335 	EXP 	window1: mouseVisible = True
14.5571 	EXP 	window1: mouseVisible = True
14.5573 	EXP 	window1: mouseVisible = True
14.5580 	EXP 	window1: mouseVisible = True
14.5586 	EXP 	window1: mouseVisible = True
14.5714 	EXP 	window1: mouseVisible = True
14.5716 	EXP 	window1: mouseVisible = True
14.5723 	EXP 	window1: mouseVisible = True
14.5729 	EXP 	window1: mouseVisible = True
14.5804 	EXP 	window1: mouseVisible = True
14.5806 	EXP 	window1: mouseVisible = True
14.5812 	EXP 	window1: mouseVisible = True
14.5818 	EXP 	window1: mouseVisible = True
14.5960 	EXP 	window1: mouseVisible = True
14.5962 	EXP 	window1: mouseVisible = True
14.5968 	EXP 	window1: mouseVisible = True
14.5974 	EXP 	window1: mouseVisible = True
14.6049 	EXP 	window1: mouseVisible = True
14.6051 	EXP 	window1: mouseVisible = True
14.6057 	EXP 	window1: mouseVisible = True
14.6063 	EXP 	window1: mouseVisible = True
14.6136 	EXP 	window1: mouseVisible = True
14.6137 	EXP 	window1: mouseVisible = True
14.6144 	EXP 	window1: mouseVisible = True
14.6150 	EXP 	window1: mouseVisible = True
14.6222 	EXP 	window1: mouseVisible = True
14.6224 	EXP 	window1: mouseVisible = True
14.6230 	EXP 	window1: mouseVisible = True
14.6236 	EXP 	window1: mouseVisible = True
14.6307 	EXP 	window1: mouseVisible = True
14.6309 	EXP 	window1: mouseVisible = True
14.6315 	EXP 	window1: mouseVisible = True
14.6322 	EXP 	window1: mouseVisible = True
14.6395 	EXP 	window1: mouseVisible = True
14.6397 	EXP 	window1: mouseVisible = True
14.6404 	EXP 	window1: mouseVisible = True
14.6410 	EXP 	window1: mouseVisible = True
14.6537 	EXP 	window1: mouseVisible = True
14.6539 	EXP 	window1: mouseVisible = True
14.6545 	EXP 	window1: mouseVisible = True
14.6551 	EXP 	window1: mouseVisible = True
14.6627 	EXP 	window1: mouseVisible = True
14.6628 	EXP 	window1: mouseVisible = True
14.6635 	EXP 	window1: mouseVisible = True
14.6641 	EXP 	window1: mouseVisible = True
14.6768 	EXP 	window1: mouseVisible = True
14.6770 	EXP 	window1: mouseVisible = True
14.6776 	EXP 	window1: mouseVisible = True
14.6782 	EXP 	window1: mouseVisible = True
14.6857 	EXP 	window1: mouseVisible = True
14.6859 	EXP 	window1: mouseVisible = True
14.6865 	EXP 	window1: mouseVisible = True
14.6871 	EXP 	window1: mouseVisible = True
14.6999 	EXP 	window1: mouseVisible = True
14.7001 	EXP 	window1: mouseVisible = True
14.7007 	EXP 	window1: mouseVisible = True
14.7013 	EXP 	window1: mouseVisible = True
14.7089 	EXP 	window1: mouseVisible = True
14.7090 	EXP 	window1: mouseVisible = True
14.7097 	EXP 	window1: mouseVisible = True
14.7103 	EXP 	window1: mouseVisible = True
14.7228 	EXP 	window1: mouseVisible = True
14.7230 	EXP 	window1: mouseVisible = True
14.7237 	EXP 	window1: mouseVisible = True
14.7243 	EXP 	window1: mouseVisible = True
14.7321 	EXP 	window1: mouseVisible = True
14.7323 	EXP 	window1: mouseVisible = True
14.7330 	EXP 	window1: mouseVisible = True
14.7337 	EXP 	window1: mouseVisible = True
14.7473 	EXP 	window1: mouseVisible = True
14.7475 	EXP 	window1: mouseVisible = True
14.7481 	EXP 	window1: mouseVisible = True
14.7488 	EXP 	window1: mouseVisible = True
14.7566 	EXP 	window1: mouseVisible = True
14.7568 	EXP 	window1: mouseVisible = True
14.7575 	EXP 	window1: mouseVisible = True
14.7581 	EXP 	window1: mouseVisible = True
14.7654 	EXP 	window1: mouseVisible = True
14.7656 	EXP 	window1: mouseVisible = True
14.7662 	EXP 	window1: mouseVisible = True
14.7668 	EXP 	window1: mouseVisible = True
14.7742 	EXP 	window1: mouseVisible = True
14.7744 	EXP 	window1: mouseVisible = True
14.7750 	EXP 	window1: mouseVisible = True
14.7756 	EXP 	window1: mouseVisible = True
14.7827 	EXP 	window1: mouseVisible = True
14.7829 	EXP 	window1: mouseVisible = True
14.7835 	EXP 	window1: mouseVisible = True
14.7841 	EXP 	window1: mouseVisible = True
14.7913 	EXP 	window1: mouseVisible = True
14.7915 	EXP 	window1: mouseVisible = True
14.7921 	EXP 	window1: mouseVisible = True
14.7927 	EXP 	window1: mouseVisible = True
14.7999 	EXP 	window1: mouseVisible = True
14.8001 	EXP 	window1: mouseVisible = True
14.8007 	EXP 	window1: mouseVisible = True
14.8014 	EXP 	window1: mouseVisible = True
14.8085 	EXP 	window1: mouseVisible = True
14.8087 	EXP 	window1: mouseVisible = True
14.8094 	EXP 	window1: mouseVisible = True
14.8100 	EXP 	window1: mouseVisible = True
14.8171 	EXP 	window1: mouseVisible = True
14.8173 	EXP 	window1: mouseVisible = True
14.8179 	EXP 	window1: mouseVisible = True
14.8185 	EXP 	window1: mouseVisible = True
14.8266 	EXP 	window1: mouseVisible = True
14.8268 	EXP 	window1: mouseVisible = True
14.8274 	EXP 	window1: mouseVisible = True
14.8280 	EXP 	window1: mouseVisible = True
14.8352 	EXP 	window1: mouseVisible = True
14.8354 	EXP 	window1: mouseVisible = True
14.8360 	EXP 	window1: mouseVisible = True
14.8366 	EXP 	window1: mouseVisible = True
14.8438 	EXP 	window1: mouseVisible = True
14.8440 	EXP 	window1: mouseVisible = True
14.8446 	EXP 	window1: mouseVisible = True
14.8452 	EXP 	window1: mouseVisible = True
14.8524 	EXP 	window1: mouseVisible = True
14.8525 	EXP 	window1: mouseVisible = True
14.8532 	EXP 	window1: mouseVisible = True
14.8538 	EXP 	window1: mouseVisible = True
14.8619 	EXP 	window1: mouseVisible = True
14.8621 	EXP 	window1: mouseVisible = True
14.8628 	EXP 	window1: mouseVisible = True
14.8634 	EXP 	window1: mouseVisible = True
14.8707 	EXP 	window1: mouseVisible = True
14.8709 	EXP 	window1: mouseVisible = True
14.8715 	EXP 	window1: mouseVisible = True
14.8721 	EXP 	window1: mouseVisible = True
14.8794 	EXP 	window1: mouseVisible = True
14.8796 	EXP 	window1: mouseVisible = True
14.8802 	EXP 	window1: mouseVisible = True
14.8808 	EXP 	window1: mouseVisible = True
14.8880 	EXP 	window1: mouseVisible = True
14.8881 	EXP 	window1: mouseVisible = True
14.8888 	EXP 	window1: mouseVisible = True
14.8894 	EXP 	window1: mouseVisible = True
14.8968 	EXP 	window1: mouseVisible = True
14.9011 	EXP 	window1: mouseVisible = True
15.0652 	EXP 	Created age_slider = Slider(__class__=<class 'psychopy.visual.slider.Slider'>, autoDraw=False, autoLog=True, borderColor=None, color=None, colorSpace='rgb', depth=-1, fillColor=None, flip=False, font='Arial', granularity=1, labelColor=None, labelHeight=0.75, labelWrapWidth=None, labels=list(...), lineColor=None, markerColor=None, name='age_slider', opacity=None, ori=0.0, pos=array([0., 0.]), readOnly=False, self=UNKNOWN, size=array([30.,  2.]), startValue=None, style='choice', styleTweaks=[], ticks=ndarray(...), units='deg', win=Window(...))
15.0654 	EXP 	window1: mouseVisible = True
15.0716 	EXP 	Created continue_txt_4 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([ 1.        ,  0.29411765, -1.        ]), colorSpace='rgb', contrast=1.0, depth=-2.0, draggable=False, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.75, italic=False, languageStyle='LTR', name='continue_txt_4', opacity=1.0, ori=0.0, pos=array([ 0., -5.]), rgb=UNKNOWN, text='Continue', units='deg', win=Window(...), wrapWidth=15.0)
15.0717 	EXP 	window1: mouseVisible = True
15.0718 	EXP 	window1: mouseVisible = True
15.0805 	EXP 	Created gender_txt = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.04, italic=False, languageStyle='LTR', name='gender_txt', opacity=1.0, ori=0.0, pos=array([0. , 0.1]), rgb=UNKNOWN, text='What is your gender?', units='height', win=Window(...), wrapWidth=1)
15.0806 	EXP 	window1: mouseVisible = True
15.0859 	EXP 	Created woman = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, draggable=False, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.035, italic=False, languageStyle='LTR', name='woman', opacity=1.0, ori=0.0, pos=array([-0.4, -0.1]), rgb=UNKNOWN, text='Woman', units='height', win=Window(...), wrapWidth=1)
15.0860 	EXP 	window1: mouseVisible = True
15.0894 	EXP 	Created man = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-2.0, draggable=False, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.035, italic=False, languageStyle='LTR', name='man', opacity=1.0, ori=0.0, pos=array([-0.15, -0.1 ]), rgb=UNKNOWN, text='Man', units='height', win=Window(...), wrapWidth=1)
15.0895 	EXP 	window1: mouseVisible = True
15.0950 	EXP 	Created nonbinary = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-3.0, draggable=False, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.035, italic=False, languageStyle='LTR', name='nonbinary', opacity=1.0, ori=0.0, pos=array([ 0.09, -0.1 ]), rgb=UNKNOWN, text='Non-binary', units='height', win=Window(...), wrapWidth=1)
15.0951 	EXP 	window1: mouseVisible = True
15.1027 	EXP 	Created other = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-4.0, draggable=False, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.035, italic=False, languageStyle='LTR', name='other', opacity=1.0, ori=0.0, pos=array([ 0.4, -0.1]), rgb=UNKNOWN, text='Other/\nPrefer not to say', units='height', win=Window(...), wrapWidth=1)
15.1028 	EXP 	window1: mouseVisible = True
15.1029 	EXP 	window1: mouseVisible = True
15.1075 	EXP 	Created handedness_txt = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.04, italic=False, languageStyle='LTR', name='handedness_txt', opacity=1.0, ori=0.0, pos=array([0. , 0.1]), rgb=UNKNOWN, text='Are you:', units='height', win=Window(...), wrapWidth=1)
15.1076 	EXP 	window1: mouseVisible = True
15.1119 	EXP 	Created right_hand = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, draggable=False, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.035, italic=False, languageStyle='LTR', name='right_hand', opacity=1.0, ori=0.0, pos=array([-0.4, -0.1]), rgb=UNKNOWN, text='Right-handed', units='height', win=Window(...), wrapWidth=1)
15.1120 	EXP 	window1: mouseVisible = True
15.1157 	EXP 	Created left_hand = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-2.0, draggable=False, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.035, italic=False, languageStyle='LTR', name='left_hand', opacity=1.0, ori=0.0, pos=array([ 0. , -0.1]), rgb=UNKNOWN, text='Left-handed', units='height', win=Window(...), wrapWidth=1)
15.1158 	EXP 	window1: mouseVisible = True
15.1196 	EXP 	Created ambidx = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-3.0, draggable=False, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.035, italic=False, languageStyle='LTR', name='ambidx', opacity=1.0, ori=0.0, pos=array([ 0.4, -0.1]), rgb=UNKNOWN, text='Other/\nPrefer not to say', units='height', win=Window(...), wrapWidth=1)
15.1197 	EXP 	window1: mouseVisible = True
15.1198 	EXP 	window1: mouseVisible = True
15.1394 	EXP 	Created instruction_txt = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.035, italic=False, languageStyle='LTR', name='instruction_txt', opacity=1.0, ori=0.0, pos=array([0. , 0.1]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
15.1395 	EXP 	window1: mouseVisible = True
15.1427 	EXP 	Created continue_txt_2 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([ 1.        ,  0.29411765, -1.        ]), colorSpace='rgb', contrast=1.0, depth=-1.0, draggable=False, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.04, italic=False, languageStyle='LTR', name='continue_txt_2', opacity=1.0, ori=0.0, pos=array([ 0. , -0.4]), rgb=UNKNOWN, text='Continue', units='height', win=Window(...), wrapWidth=1)
15.1428 	EXP 	window1: mouseVisible = True
15.1429 	EXP 	window1: mouseVisible = True
15.4679 	EXP 	Created example_r = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, image='example right.png', interpolate=True, mask=None, maskParams=None, name='example_r', opacity=1.0, ori=0.0, pos=array([ 0. , -0.1]), size=array([1.2, 0.6]), texRes=128.0, units='height', win=Window(...))
15.4682 	EXP 	window1: mouseVisible = True
15.4892 	EXP 	Created instruction_txt_2 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, draggable=False, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.03, italic=False, languageStyle='LTR', name='instruction_txt_2', opacity=1.0, ori=0.0, pos=array([0. , 0.3]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
15.4893 	EXP 	window1: mouseVisible = True
15.4923 	EXP 	Created continue_txt_9 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([ 1.        ,  0.29411765, -1.        ]), colorSpace='rgb', contrast=1.0, depth=-2.0, draggable=False, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.04, italic=False, languageStyle='LTR', name='continue_txt_9', opacity=1.0, ori=0.0, pos=array([ 0. , -0.4]), rgb=UNKNOWN, text='Continue', units='height', win=Window(...), wrapWidth=1)
15.4924 	EXP 	window1: mouseVisible = True
15.4925 	EXP 	window1: mouseVisible = True
15.7579 	EXP 	Created example_l = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, image='example left.png', interpolate=True, mask=None, maskParams=None, name='example_l', opacity=1.0, ori=0.0, pos=array([ 0. , -0.1]), size=array([1.2, 0.6]), texRes=128.0, units='height', win=Window(...))
15.7580 	EXP 	window1: mouseVisible = True
